bloque,serie,ventana,desde,hasta,n,media_pct_mes,t_nw6,ic95_inf,ic95_sup,veredicto,media_x12,cagr_o_difcagr
ETF-dif,IMTM_vs_VEA,sens_spread_0.30,201502,202608,139,0.000540,0.004176,-0.253011,0.254092,inconcluso,0.006483,0.191272
ETF-dif,IMTM_vs_VEA,sens_retencion_30,201502,202608,139,0.008413,0.064134,-0.248700,0.265527,inconcluso,0.100959,0.332437
ETF-dif,IMTM_vs_VEA,comun_2016_04,201604,202608,125,0.003489,0.024827,-0.271974,0.278952,inconcluso,0.041872,0.224559
ETF-dif,PIZ_vs_EFA,base,200802,202608,223,0.127933,0.890977,-0.153492,0.409357,inconcluso,1.535191,1.068196
ETF-dif,PIZ_vs_EFA,sens_spread_0.30,200802,202608,223,0.127933,0.890977,-0.153492,0.409357,inconcluso,1.535191,1.050529
ETF-dif,PIZ_vs_EFA,sens_retencion_30,200802,202608,223,0.162242,1.132285,-0.118596,0.443080,inconcluso,1.946905,1.496815
ETF-dif,PIZ_vs_EFA,comun_2016_04,201604,202608,125,0.091013,0.444135,-0.310627,0.492653,inconcluso,1.092157,0.600019
ETF-dif,PIZ_vs_VEA,base,200802,202608,223,0.078725,0.561520,-0.196061,0.353511,inconcluso,0.944698,0.500010
ETF-dif,PIZ_vs_VEA,sens_spread_0.30,200802,202608,223,0.078725,0.561520,-0.196061,0.353511,inconcluso,0.944698,0.482343
ETF-dif,PIZ_vs_VEA,sens_retencion_30,200802,202608,223,0.114413,0.819529,-0.159215,0.388041,inconcluso,1.372961,0.945711
ETF-dif,PIZ_vs_VEA,comun_2016_04,201604,202608,125,0.024745,0.125254,-0.362465,0.411956,inconcluso,0.296941,-0.167102
ETF-dif,IDMO_vs_EFA,base,201604,202608,125,0.212335,1.123740,-0.158008,0.582679,inconcluso,2.548024,2.813261
ETF-dif,IDMO_vs_EFA,sens_spread_0.30,201604,202608,125,0.212335,1.123740,-0.158008,0.582679,inconcluso,2.548024,2.780807
ETF-dif,IDMO_vs_EFA,sens_retencion_30,201604,202608,125,0.219494,1.154286,-0.153204,0.592193,inconcluso,2.633929,2.873317
ETF-dif,IDMO_vs_EFA,comun_2016_04,201604,202608,125,0.212335,1.123740,-0.158008,0.582679,inconcluso,2.548024,2.813261
ETF-dif,IDMO_vs_VEA,base,201604,202608,125,0.146067,0.759903,-0.230674,0.522808,inconcluso,1.752808,2.046140
ETF-dif,IDMO_vs_VEA,sens_spread_0.30,201604,202608,125,0.146067,0.759903,-0.230674,0.522808,inconcluso,1.752808,2.013686
ETF-dif,IDMO_vs_VEA,sens_retencion_30,201604,202608,125,0.154122,0.798888,-0.223996,0.532239,inconcluso,1.849463,2.129702
ETF-dif,IDMO_vs_VEA,comun_2016_04,201604,202608,125,0.146067,0.759903,-0.230674,0.522808,inconcluso,1.752808,2.046140
ETF-dif,IMOM_vs_EFA,base,201601,202608,128,-0.123311,-0.495793,-0.610781,0.364160,inconcluso,-1.479729,-2.196507
ETF-dif,IMOM_vs_EFA,sens_spread_0.30,201601,202608,128,-0.123311,-0.495793,-0.610781,0.364160,inconcluso,-1.479729,-2.226646
ETF-dif,IMOM_vs_EFA,sens_retencion_30,201601,202608,128,-0.100155,-0.405201,-0.584608,0.384297,inconcluso,-1.201862,-1.893692
ETF-dif,IMOM_vs_EFA,comun_2016_04,201604,202608,125,-0.094610,-0.368433,-0.597913,0.408692,inconcluso,-1.135325,-1.856674
ETF-dif,IMOM_vs_VEA,base,201601,202608,128,-0.194653,-0.862072,-0.637207,0.247900,inconcluso,-2.335838,-3.026148
ETF-dif,IMOM_vs_VEA,sens_spread_0.30,201601,202608,128,-0.194653,-0.862072,-0.637207,0.247900,inconcluso,-2.335838,-3.056286
ETF-dif,IMOM_vs_VEA,sens_retencion_30,201601,202608,128,-0.169514,-0.758359,-0.607619,0.268591,inconcluso,-2.034168,-2.686396
ETF-dif,IMOM_vs_VEA,comun_2016_04,201604,202608,125,-0.160878,-0.688646,-0.618756,0.296999,inconcluso,-1.930541,-2.623795
