tabla,fila,campo,tipo,reportado,propio,dif,tolerancia,ok,exacto_al_redondeo
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,ultimo mes pre,categoria,201504,201504,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,completo x12,x12,1.06,1.060661,0.000661,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,completo t,t,1.89,1.894867,0.004867,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,completo apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,pre x12,x12,1.14,1.135177,-0.004823,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,pre t,t,1.82,1.824917,0.004917,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,pre apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-2025 x12,x12,1.06,1.063462,0.003462,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-2025 t,t,1.21,1.210307,0.000307,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-ult x12,x12,0.92,0.915235,-0.004765,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-ult t,t,1.04,1.038826,-0.001174,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,post x12,x12,0.72,0.717333,-0.002667,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,post t,t,0.56,0.559532,-0.000468,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,ultimo mes pre,categoria,200804,200804,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,completo x12,x12,1.97,1.971995,0.001995,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,completo t,t,3.22,3.224021,0.004021,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,completo apoyo(negrita),categoria,True,True,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,pre x12,x12,2.58,2.580000,0.000000,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,pre t,t,3.19,3.194694,0.004694,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,pre apoyo(negrita),categoria,True,True,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-2025 x12,x12,1.30,1.296923,-0.003077,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-2025 t,t,1.34,1.343761,0.003761,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-ult x12,x12,1.28,1.275235,-0.004765,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-ult t,t,1.35,1.346637,-0.003363,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,post x12,x12,0.48,0.478356,-0.001644,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,post t,t,0.72,0.723578,0.003578,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,ultimo mes pre,categoria,200602,200602,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,completo x12,x12,-0.09,-0.094795,-0.004795,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,completo t,t,-0.11,-0.106737,0.003263,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,completo apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,pre x12,x12,-0.21,-0.210469,-0.000469,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,pre t,t,-0.20,-0.197004,0.002996,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,pre apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-2025 x12,x12,0.84,0.839615,-0.000385,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-2025 t,t,0.52,0.519509,-0.000491,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-ult x12,x12,0.85,0.846771,-0.003229,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-ult t,t,0.53,0.532339,0.002339,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,post x12,x12,0.15,0.146939,-0.003061,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,post t,t,0.09,0.091872,0.001872,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,ultimo mes pre,categoria,200808,200808,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,completo x12,x12,2.39,2.386526,-0.003474,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,completo t,t,2.71,2.714290,0.004290,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,completo apoyo(negrita),categoria,True,True,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,pre x12,x12,3.11,3.113137,0.003137,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,pre t,t,3.09,3.089568,-0.000432,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,pre apoyo(negrita),categoria,True,True,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-2025 x12,x12,2.09,2.094231,0.004231,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-2025 t,t,1.42,1.423227,0.003227,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-ult x12,x12,2.15,2.145705,-0.004295,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-ult t,t,1.49,1.485450,-0.004550,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,post x12,x12,0.55,0.554791,0.004791,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,post t,t,0.32,0.319944,-0.000056,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,ultimo mes pre,categoria,200602,200602,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,completo x12,x12,0.21,0.206552,-0.003448,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,completo t,t,0.31,0.308875,-0.001125,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,completo apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,pre x12,x12,0.24,0.237891,-0.002109,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,pre t,t,0.29,0.290608,0.000608,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,pre apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,2000-2025 x12,x12,0.79,0.790769,0.000769,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,2000-2025 t,t,0.68,0.677931,-0.002069,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,2000-ult x12,x12,0.65,0.648527,-0.001473,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,2000-ult t,t,0.56,0.556071,-0.003929,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,post x12,x12,0.14,0.141061,0.001061,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,post t,t,0.12,0.121440,0.001440,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,ultimo mes pre,categoria,201504,201504,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,completo x12,x12,2.63,2.632867,0.002867,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,completo t,t,1.70,1.695273,-0.004727,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,completo apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,pre x12,x12,2.50,2.501865,0.001865,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,pre t,t,1.50,1.497251,-0.002749,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,pre apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,2000-2025 x12,x12,5.08,5.075385,-0.004615,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,2000-2025 t,t,1.89,1.889816,-0.000184,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,2000-ult x12,x12,4.26,4.256050,-0.003950,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,2000-ult t,t,1.52,1.524969,0.004969,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,post x12,x12,3.24,3.236444,-0.003556,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,post t,t,0.79,0.793505,0.003505,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),OP-LS-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,ultimo mes pre,categoria,200804,200804,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,completo x12,x12,5.84,5.841955,0.001955,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,completo t,t,4.05,4.048568,-0.001432,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,completo apoyo(negrita),categoria,True,True,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,pre x12,x12,6.58,6.575465,-0.004535,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,pre t,t,4.13,4.129351,-0.000649,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,pre apoyo(negrita),categoria,True,True,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,2000-2025 x12,x12,4.91,4.906923,-0.003077,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,2000-2025 t,t,1.87,1.870461,0.000461,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,2000-ult x12,x12,5.29,5.291661,0.001661,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,2000-ult t,t,2.00,2.004928,0.004928,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,2000-ult apoyo(negrita),categoria,True,True,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,post x12,x12,4.04,4.040000,-0.000000,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,post t,t,1.31,1.314368,0.004368,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),NI-LS-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,ultimo mes pre,categoria,200602,200602,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,completo x12,x12,1.56,1.560634,0.000634,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,completo t,t,0.51,0.510739,0.000739,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,completo apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,pre x12,x12,2.36,2.364844,0.004844,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,pre t,t,0.66,0.660008,0.000008,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,pre apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,2000-2025 x12,x12,2.71,2.706154,-0.003846,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,2000-2025 t,t,0.51,0.505887,-0.004113,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,2000-ult x12,x12,1.70,1.699185,-0.000815,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,2000-ult t,t,0.32,0.316043,-0.003957,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,post x12,x12,-0.12,-0.120000,-0.000000,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,post t,t,-0.02,-0.020877,-0.000877,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),VAR-LS-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,ultimo mes pre,categoria,200808,200808,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,completo x12,x12,2.66,2.663461,0.003461,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,completo t,t,1.78,1.777074,-0.002926,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,completo apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,pre x12,x12,4.10,4.095720,-0.004280,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,pre t,t,2.36,2.363704,0.003704,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,pre apoyo(negrita),categoria,True,True,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,2000-2025 x12,x12,2.50,2.496154,-0.003846,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,2000-2025 t,t,0.93,0.934094,0.004094,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,2000-ult x12,x12,2.76,2.764514,0.004514,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,2000-ult t,t,1.05,1.051487,0.001487,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,post x12,x12,-0.95,-0.947163,0.002837,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,post t,t,-0.33,-0.330091,-0.000091,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),INV-LS-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,ultimo mes pre,categoria,200602,200602,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,completo x12,x12,2.09,2.086129,-0.003871,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,completo t,t,0.72,0.720127,0.000127,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,completo apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,pre x12,x12,3.30,3.296719,-0.003281,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,pre t,t,0.99,0.987317,-0.002683,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,pre apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,2000-2025 x12,x12,2.76,2.756154,-0.003846,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,2000-2025 t,t,0.56,0.555552,-0.004448,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,2000-ult x12,x12,1.23,1.234232,0.004232,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,2000-ult t,t,0.24,0.240714,0.000714,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,post x12,x12,-0.44,-0.443755,-0.003755,0.12,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,post t,t,-0.08,-0.079364,0.000636,0.05,True,True
2. Largo-corto VW (académico; no operable en GBM),RESVAR-LS-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,ultimo mes pre,categoria,201504,201504,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,completo x12,x12,1.17,1.166394,-0.003606,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,completo t,t,0.72,0.715338,-0.004662,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,completo apoyo(negrita),categoria,False,False,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,pre x12,x12,0.45,0.448167,-0.001833,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,pre t,t,0.27,0.267287,-0.002713,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,pre apoyo(negrita),categoria,False,False,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,2000-2025 x12,x12,3.04,3.043462,0.003462,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,2000-2025 t,t,0.99,0.994300,0.004300,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,2000-ult x12,x12,3.17,3.168527,-0.001473,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,2000-ult t,t,1.06,1.057567,-0.002433,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,post x12,x12,4.48,4.475556,-0.004444,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,post t,t,0.92,0.924195,0.004195,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,OP-LS-EW,post apoyo(negrita),categoria,False,False,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,ultimo mes pre,categoria,200804,200804,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,completo x12,x12,10.41,10.413052,0.003052,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,completo t,t,5.75,5.746503,-0.003497,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,completo apoyo(negrita),categoria,True,True,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,pre x12,x12,10.30,10.296803,-0.003197,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,pre t,t,5.30,5.301146,0.001146,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,pre apoyo(negrita),categoria,True,True,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,2000-2025 x12,x12,11.25,11.252692,0.002692,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,2000-2025 t,t,3.02,3.016246,-0.003754,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,2000-2025 apoyo(negrita),categoria,True,True,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,2000-ult x12,x12,11.65,11.649404,-0.000596,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,2000-ult t,t,3.18,3.177792,-0.002208,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,2000-ult apoyo(negrita),categoria,True,True,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,post x12,x12,10.70,10.698630,-0.001370,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,post t,t,2.63,2.629636,-0.000364,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,NI-LS-EW,post apoyo(negrita),categoria,True,True,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,ultimo mes pre,categoria,200602,200602,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,completo x12,x12,1.95,1.954875,0.004875,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,completo t,t,0.62,0.624981,0.004981,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,completo apoyo(negrita),categoria,False,False,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,pre x12,x12,0.11,0.110156,0.000156,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,pre t,t,0.03,0.030483,0.000483,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,pre apoyo(negrita),categoria,False,False,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,2000-2025 x12,x12,4.75,4.747692,-0.002308,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,2000-2025 t,t,0.85,0.850059,0.000059,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,2000-ult x12,x12,4.87,4.870345,0.000345,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,2000-ult t,t,0.89,0.890280,0.000280,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,post x12,x12,5.81,5.809959,-0.000041,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,post t,t,0.97,0.968334,-0.001666,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,VAR-LS-EW,post apoyo(negrita),categoria,False,False,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,INV-LS-EW,ultimo mes pre,categoria,200808,200808,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,INV-LS-EW,completo x12,x12,8.43,8.432021,0.002021,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,INV-LS-EW,completo t,t,6.61,6.609641,-0.000359,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,INV-LS-EW,completo apoyo(negrita),categoria,True,True,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,INV-LS-EW,pre x12,x12,9.94,9.939188,-0.000812,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,INV-LS-EW,pre t,t,6.95,6.949329,-0.000671,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,INV-LS-EW,pre apoyo(negrita),categoria,True,True,,igual,True,True
3. Largo-corto equiponderado y factores de referencia,INV-LS-EW,2000-2025 x12,x12,7.39,7.394615,0.004615,0.12,True,True
3. Largo-corto equiponderado y factores de referencia,INV-LS-EW,2000-2025 t,t,3.10,3.097257,-0.002743,0.05,True,True
3. Largo-corto equiponderado y factores de referencia,INV-LS-EW,2000-2025 apoyo(negrita),categoria,True,True,,igual,True,True
